# z[m]  mass[kg]  radius[m]  G[-]  rho_org[kg/m3]  age[days]  skin_width[m]
  9.15867963E+04   1.10250000E-12   8.01448841E-06   4.01495158E-01   5.46664780E+02   5.00000000E-01   4.79671012E-06
  7.96513745E+04   1.10250000E-12   6.13188543E-06   3.05282463E-02   1.14161654E+03   5.00000000E-01   5.94468972E-06
  4.22185959E+04   1.10250000E-12   7.09573940E-06   7.68464853E-01   1.34881250E+03   5.00000000E-01   1.64291306E-06
  1.02976330E+05   1.10250000E-12   6.25186485E-06   5.78218167E-01   1.33524074E+03   5.00000000E-01   2.63692302E-06
  7.85296061E+04   1.10250000E-12   1.08289385E-05   9.49457495E-01   1.43843241E+03   5.00000000E-01   5.47321681E-07
  4.99868283E+04   1.10250000E-12   6.06913590E-06   2.75600871E-01   1.20253357E+03   5.00000000E-01   4.39647676E-06
  4.85456330E+04   1.10250000E-12   8.97600276E-06   6.75963530E-01   5.26597339E+02   5.00000000E-01   2.90855225E-06
  6.46749261E+04   1.10250000E-12   5.98159359E-06   4.39961012E-01   1.34429561E+03   5.00000000E-01   3.34992562E-06
  6.62078551E+04   1.10250000E-12   6.83837360E-06   5.52366037E-01   9.89887131E+02   5.00000000E-01   3.06108828E-06
  5.10840512E+04   1.10250000E-12   7.86192146E-06   4.25049738E-01   5.86684481E+02   5.00000000E-01   4.52021380E-06
  4.71232348E+04   1.10250000E-12   6.16387187E-06   4.68436510E-01   1.25266583E+03   5.00000000E-01   3.27648924E-06
  9.88821895E+04   1.10250000E-12   8.16907289E-06   5.78861925E-01   5.98988047E+02   5.00000000E-01   3.44030763E-06
  9.67640254E+04   1.10250000E-12   1.18625075E-05   9.51460645E-01   1.13709323E+03   5.00000000E-01   5.75798460E-07
  4.26896525E+04   1.10250000E-12   8.02933444E-06   7.72434640E-01   9.43112818E+02   5.00000000E-01   1.82719839E-06
  5.67639851E+04   1.10250000E-12   7.36001819E-06   8.14877213E-01   1.43858018E+03   5.00000000E-01   1.36250708E-06
  4.40774626E+04   1.10250000E-12   8.17529812E-06   7.71453039E-01   8.90594887E+02   5.00000000E-01   1.86843954E-06
  7.84259657E+04   1.10250000E-12   7.55311708E-06   6.49828760E-01   8.41819262E+02   5.00000000E-01   2.64488437E-06
  4.00471180E+04   1.10250000E-12   7.18221060E-06   7.98672529E-01   1.44822872E+03   5.00000000E-01   1.44597630E-06
  5.89097307E+04   1.10250000E-12   6.94323525E-06   5.53577686E-01   9.46977049E+02   5.00000000E-01   3.09961514E-06
  4.97045087E+04   1.10250000E-12   6.14355387E-06   3.04467501E-01   1.16805941E+03   5.00000000E-01   4.27304137E-06
  1.00465480E+05   1.10250000E-12   7.44164494E-06   7.85017810E-01   1.23719893E+03   5.00000000E-01   1.59982113E-06
  9.48781292E+04   1.10250000E-12   9.34900837E-06   9.22254269E-01   1.49416005E+03   5.00000000E-01   7.26845485E-07
  7.26352504E+04   1.10250000E-12   6.44495372E-06   3.29801756E-01   1.01975538E+03   5.00000000E-01   4.31939667E-06
  9.86870270E+04   1.10250000E-12   1.07552834E-05   9.37615289E-01   1.20392614E+03   5.00000000E-01   6.70965243E-07
  1.03390925E+05   1.10250000E-12   8.08158041E-06   8.46353317E-01   1.26644311E+03   5.00000000E-01   1.24170802E-06
  8.58944713E+04   1.10250000E-12   6.68689632E-06   3.74262417E-01   9.28970847E+02   5.00000000E-01   4.18424234E-06
  7.52503856E+04   1.10250000E-12   6.54630403E-06   5.24746543E-01   1.09667574E+03   5.00000000E-01   3.11115362E-06
  9.37645872E+04   1.10250000E-12   6.73724651E-06   1.71786795E-01   8.65067412E+02   5.00000000E-01   5.57987652E-06
  6.09253612E+04   1.10250000E-12   5.91844255E-06   2.11600584E-01   1.28174598E+03   5.00000000E-01   4.66609665E-06
  5.61226309E+04   1.10250000E-12   6.44462237E-06   5.06249981E-01   1.12993041E+03   5.00000000E-01   3.18203242E-06
  8.48990320E+04   1.10250000E-12   6.98131658E-06   7.61578025E-01   1.38555214E+03   5.00000000E-01   1.66449929E-06
  6.20230717E+04   1.10250000E-12   6.36481203E-06   6.16843614E-01   1.33384464E+03   5.00000000E-01   2.43871837E-06
  6.50231495E+04   1.10250000E-12   1.23143359E-05   9.14819520E-01   6.01330985E+02   5.00000000E-01   1.04894104E-06
  4.73197564E+04   1.10250000E-12   7.89744715E-06   7.18964902E-01   8.50396839E+02   5.00000000E-01   2.21945984E-06
  6.09610999E+04   1.10250000E-12   6.95891593E-06   6.04434233E-01   1.00237426E+03   5.00000000E-01   2.75270891E-06
  5.90461961E+04   1.10250000E-12   1.27602325E-05   9.17277330E-01   5.55122893E+02   5.00000000E-01   1.05556051E-06
  7.14256005E+04   1.10250000E-12   7.87765002E-06   3.00582655E-01   5.53423326E+02   5.00000000E-01   5.50976506E-06
  4.77789594E+04   1.10250000E-12   7.37756551E-06   8.23051183E-01   1.48143439E+03   5.00000000E-01   1.30545149E-06
  8.32805162E+04   1.10250000E-12   5.75005265E-06   8.05877802E-02   1.38516619E+03   5.00000000E-01   5.28666867E-06
  3.93508830E+04   1.10250000E-12   6.85328056E-06   2.60680805E-01   8.32447189E+02   5.00000000E-01   5.06676186E-06
  7.97048701E+04   1.10250000E-12   6.90832173E-06   5.18851976E-01   9.27922462E+02   5.00000000E-01   3.32392535E-06
  8.06312068E+04   1.10250000E-12   6.03931766E-06   4.05570271E-01   1.28029569E+03   5.00000000E-01   3.58994996E-06
  5.67990722E+04   1.10250000E-12   6.99593449E-06   2.08970384E-01   7.75772020E+02   5.00000000E-01   5.53399138E-06
  7.38995393E+04   1.10250000E-12   5.78926417E-06   3.11040579E-01   1.39858655E+03   5.00000000E-01   3.98856809E-06
  6.55254662E+04   1.10250000E-12   7.52498289E-06   4.54850197E-01   6.81859340E+02   5.00000000E-01   4.10224294E-06
  8.63541226E+04   1.10250000E-12   6.14061318E-06   5.35757740E-01   1.34329835E+03   5.00000000E-01   2.85073214E-06
  7.02055409E+04   1.10250000E-12   5.97622642E-06   7.71141036E-02   1.23369572E+03   5.00000000E-01   5.51537508E-06
  5.83408708E+04   1.10250000E-12   7.20881859E-06   4.17091234E-01   7.57550442E+02   5.00000000E-01   4.20208355E-06
  6.64677341E+04   1.10250000E-12   8.68960376E-06   7.09248324E-01   6.23630651E+02   5.00000000E-01   2.52651686E-06
  7.58286979E+04   1.10250000E-12   7.84328979E-06   7.73362669E-01   1.01496094E+03   5.00000000E-01   1.77758226E-06
  7.21375145E+04   1.10250000E-12   6.43513428E-06   2.02467967E-01   9.95948219E+02   5.00000000E-01   5.13222572E-06
  3.95192425E+04   1.10250000E-12   6.51626521E-06   5.93707984E-01   1.20300827E+03   5.00000000E-01   2.64750653E-06
  8.03425944E+04   1.10250000E-12   5.93529964E-06   2.07935963E-01   1.27023557E+03   5.00000000E-01   4.70113739E-06
  1.04544726E+05   1.15762500E-12   5.94394484E-06   1.23665212E-01   1.31849079E+03   7.50000000E-01   5.20888564E-06
  9.84872039E+04   1.15762500E-12   8.62689663E-06   5.60369351E-01   5.22359106E+02   7.50000000E-01   3.79264816E-06
  6.22665705E+04   1.15762500E-12   6.67711652E-06   1.00964920E-01   9.29307925E+02   7.50000000E-01   6.00296198E-06
  8.75191113E+04   1.15762500E-12   7.76666751E-06   6.76294873E-01   8.54079689E+02   7.50000000E-01   2.51411010E-06
  9.78515350E+04   1.15762500E-12   6.23242601E-06   3.05282463E-02   1.14161654E+03   7.50000000E-01   6.04216097E-06
  6.13304311E+04   1.15762500E-12   7.21208368E-06   7.68464853E-01   1.34881250E+03   7.50000000E-01   1.66985085E-06
  9.82200008E+04   1.15762500E-12   1.10064936E-05   9.49457495E-01   1.43843241E+03   7.50000000E-01   5.56295763E-07
  6.86240280E+04   1.15762500E-12   6.16864762E-06   2.75600871E-01   1.20253357E+03   7.50000000E-01   4.46856296E-06
  6.81520635E+04   1.15762500E-12   9.12317650E-06   6.75963530E-01   5.26597339E+02   7.50000000E-01   2.95624191E-06
  8.30940026E+04   1.15762500E-12   6.07966993E-06   4.39961012E-01   1.34429561E+03   7.50000000E-01   3.40485219E-06
  8.50045753E+04   1.15762500E-12   6.95049802E-06   5.52366037E-01   9.89887131E+02   7.50000000E-01   3.11127897E-06
  7.03911408E+04   1.15762500E-12   7.99082832E-06   4.25049738E-01   5.86684481E+02   7.50000000E-01   4.59432884E-06
  6.58281375E+04   1.15762500E-12   6.26493691E-06   4.68436510E-01   1.25266583E+03   7.50000000E-01   3.33021173E-06
  6.20894230E+04   1.15762500E-12   8.16098627E-06   7.72434640E-01   9.43112818E+02   7.50000000E-01   1.85715778E-06
  7.58653411E+04   1.15762500E-12   7.48069567E-06   8.14877213E-01   1.43858018E+03   7.50000000E-01   1.38484724E-06
  6.35105317E+04   1.15762500E-12   8.30934323E-06   7.71453039E-01   8.90594887E+02   7.50000000E-01   1.89907514E-06
  9.72910133E+04   1.15762500E-12   7.67696069E-06   6.49828760E-01   8.41819262E+02   7.50000000E-01   2.68825084E-06
  5.91981546E+04   1.15762500E-12   7.29997269E-06   7.98672529E-01   1.44822872E+03   7.50000000E-01   1.46968504E-06
  7.78395766E+04   1.15762500E-12   7.05707901E-06   5.53577686E-01   9.46977049E+02   7.50000000E-01   3.15043754E-06
  6.83799999E+04   1.15762500E-12   6.24428577E-06   3.04467501E-01   1.16805941E+03   7.50000000E-01   4.34310369E-06
